rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
10,0,NEW,20265254,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,52001000,0.7,52001000,100.0,52001000,1469,1469,100.0,1469,2,14,2026-07-31,2026-08-09 10:17:37
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,9688580510,80.9,3895095760,67.2,27040843150,900883,374817,71.2,2558159,2409,10152,2026-08-01,2026-08-09 10:17:36
2,0,OLD,20233219,호프,2026-07-15,1403300900,11.7,567632100,67.9,43077929680,136417,54921,67.4,3992648,957,2724,2026-08-01,2026-08-09 10:17:36
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,211440510,1.8,21218580,11.2,6935350100,22173,2131,10.6,690910,715,1091,2026-08-01,2026-08-09 10:17:36
4,0,OLD,20259946,모아나,2026-07-08,124133850,1.0,11528250,10.2,10502676130,12729,1099,9.4,987184,465,626,2026-08-01,2026-08-09 10:17:36
5,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,127985600,1.1,127985600,100.0,181687600,10681,10681,100.0,16189,76,91,2026-08-01,2026-08-09 10:17:36
6,-1,OLD,20259781,토이 스토리 5,2026-06-17,100129740,0.8,-1910980,-1.9,29836223200,9940,-440,-4.2,2900656,367,455,2026-08-01,2026-08-09 10:17:36
7,-1,OLD,20262902,다윗,2026-07-10,85172890,0.7,25748890,43.3,2469146810,8795,2523,40.2,253432,253,285,2026-08-01,2026-08-09 10:17:36
8,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,64192100,0.5,18523400,40.6,186868020,6224,1873,43.0,18574,67,110,2026-08-01,2026-08-09 10:17:36
9,-1,OLD,20242402,눈동자,2026-06-24,28515200,0.2,3039850,11.9,15836615200,2646,271,11.4,1535034,160,187,2026-08-01,2026-08-09 10:17:36
10,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,12517310,0.1,-5375960,-30.0,362580450,1365,-578,-29.7,40585,130,134,2026-08-01,2026-08-09 10:17:36
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,8775402900,80.9,-913177610,-9.4,35816246050,825929,-74954,-8.3,3384088,2382,9784,2026-08-02,2026-08-09 10:17:36
2,0,OLD,20233219,호프,2026-07-15,1200387570,11.1,-202913330,-14.5,44278317250,117897,-18520,-13.6,4110545,965,2620,2026-08-02,2026-08-09 10:17:36
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,218413190,2.0,6972680,3.3,7153763290,23030,857,3.9,713940,716,1089,2026-08-02,2026-08-09 10:17:36
4,0,OLD,20259946,모아나,2026-07-08,124099400,1.1,-34450,0.0,10626775530,12763,34,0.3,999947,452,580,2026-08-02,2026-08-09 10:17:36
5,1,OLD,20259781,토이 스토리 5,2026-06-17,115375580,1.1,15245840,15.2,29951598780,11554,1614,16.2,2912210,375,472,2026-08-02,2026-08-09 10:17:36
6,-1,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,125351720,1.2,-2633880,-2.1,307039320,10305,-376,-3.5,26494,75,85,2026-08-02,2026-08-09 10:17:36
7,0,OLD,20262902,다윗,2026-07-10,94622950,0.9,9450060,11.1,2563769760,9917,1122,12.8,263349,243,276,2026-08-02,2026-08-09 10:17:36
8,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,56577800,0.5,-7614300,-11.9,243445820,5434,-790,-12.7,24008,63,107,2026-08-02,2026-08-09 10:17:36
9,0,OLD,20242402,눈동자,2026-06-24,25051300,0.2,-3463900,-12.1,15861666500,2341,-305,-11.5,1537375,151,176,2026-08-02,2026-08-09 10:17:36
10,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,12786500,0.1,269190,2.2,375366950,1411,46,3.4,41996,126,130,2026-08-02,2026-08-09 10:17:36
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4174462150,80.5,-4600940750,-52.4,39990708200,401780,-424149,-51.4,3785868,2178,8774,2026-08-03,2026-08-09 10:17:35
2,0,OLD,20233219,호프,2026-07-15,618271300,11.9,-582116270,-48.5,44896588550,63927,-53970,-45.8,4174472,901,2658,2026-08-03,2026-08-09 10:17:35
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,113041800,2.2,-105371390,-48.2,7266805090,12454,-10576,-45.9,726394,672,1050,2026-08-03,2026-08-09 10:17:35
4,1,OLD,20259781,토이 스토리 5,2026-06-17,71227390,1.4,-44148190,-38.3,30022826170,7454,-4100,-35.5,2919664,384,487,2026-08-03,2026-08-09 10:17:35
5,-1,OLD,20259946,모아나,2026-07-08,65168340,1.3,-58931060,-47.5,10691943870,6986,-5777,-45.3,1006933,437,580,2026-08-03,2026-08-09 10:17:35
